,Word,V,A,D
80,accord,0.7785,0.3065,0.491
81,accordion,0.604,0.49,0.361
82,account,0.6273333333333334,0.391,0.6448333333333333
83,accredit,0.669,0.479,0.768
84,accret,0.448,0.519,0.672
85,accru,0.52,0.481,0.602
86,accueil,0.45,0.451,0.47
87,accumul,0.526,0.5315000000000001,0.6034999999999999
88,accur,0.743,0.36,0.737
89,accuraci,0.604,0.481,0.802
90,accurs,0.135,0.745,0.345
91,accus,0.13533333333333333,0.7365,0.48416666666666663
92,accustom,0.542,0.365,0.441
93,ace,0.643,0.481,0.546
94,acet,0.333,0.42,0.519
95,acetylen,0.306,0.469,0.509
96,ach,0.09949999999999999,0.8200000000000001,0.32999999999999996
97,achi,0.167,0.84,0.373
98,achiev,0.8693333333333334,0.624,0.7923333333333332
99,acid,0.21050000000000002,0.6525000000000001,0.46299999999999997
100,acknowledg,0.77875,0.47000000000000003,0.75825
101,acm,0.408,0.435,0.375
102,acn,0.167,0.474,0.308
103,acorn,0.448,0.198,0.192
104,acoust,0.5765,0.396,0.5225
105,acquaint,0.7360000000000001,0.37966666666666665,0.647
106,acquiesc,0.542,0.48,0.554
107,acquir,0.784,0.489,0.7585
108,acquisit,0.7355,0.5845,0.763
109,acquit,0.583,0.571,0.611
110,acquitt,0.76,0.497,0.7
111,acr,0.5465,0.375,0.4615
112,acreag,0.741,0.45,0.528
113,acrobat,0.708,0.828,0.602
114,acryl,0.582,0.279,0.42
115,act,0.677,0.6735,0.6174999999999999
116,action,0.7165,0.8,0.7075
117,action-figur,0.615,0.774,0.611
118,activ,0.77325,0.71,0.7745
119,activist,0.531,0.653,0.877
120,actor,0.653,0.561,0.629
121,actress,0.633,0.556,0.596
122,actual,0.7395,0.43200000000000005,0.6579999999999999
123,actuari,0.51,0.404,0.491
124,acuiti,0.469,0.378,0.741
125,acumen,0.564,0.66,0.679
126,acupunctur,0.531,0.324,0.549
127,acut,0.422,0.5975,0.5125
128,ad,0.5415000000000001,0.5549999999999999,0.5335000000000001
129,adag,0.517,0.415,0.566
130,adam,0.344,0.529,0.575
131,adapt,0.7126666666666667,0.381,0.6003333333333334
132,add,0.728,0.49,0.554
133,addendum,0.392,0.37,0.418
134,adder,0.388,0.461,0.588
135,addict,0.17825,0.7242500000000001,0.4255
136,addit,0.5986666666666668,0.48933333333333334,0.5626666666666666
137,address,0.5800000000000001,0.3405,0.5085
138,addresse,0.622,0.382,0.538
139,adept,0.594,0.539,0.789
140,adequ,0.854,0.264,0.705
141,adequaci,0.615,0.435,0.702
142,adher,0.6415,0.398,0.5690000000000001
143,adhes,0.5625,0.39749999999999996,0.49949999999999994
144,adieu,0.25,0.471,0.342
145,adipos,0.333,0.35,0.391
146,adjac,0.505,0.34650000000000003,0.4555
147,adject,0.57,0.316,0.569
148,adjoin,0.52,0.4,0.393
149,adjourn,0.4115,0.483,0.4225
150,adjud,0.555,0.491,0.687
151,adjunct,0.459,0.44,0.426
152,adjust,0.5823333333333333,0.4623333333333333,0.6863333333333334
153,adjuv,0.51,0.5,0.456
154,admin,0.688,0.42,0.854
155,administ,0.635,0.425,0.86
156,administr,0.5683333333333334,0.433,0.7556666666666666
157,admir,0.8841428571428571,0.6032857142857143,0.7487142857142857
158,admiralti,0.594,0.547,0.733
159,admiss,0.7946666666666667,0.5076666666666666,0.6586666666666666
160,admit,0.626,0.47100000000000003,0.66
161,admitt,0.69,0.451,0.598
162,admixtur,0.45,0.375,0.438
163,admonit,0.357,0.606,0.455
164,ado,0.52,0.423,0.385
165,adob,0.5,0.319,0.328
166,adolesc,0.634,0.687,0.47650000000000003
167,adopt,0.6166666666666667,0.5489999999999999,0.6033333333333334
168,ador,0.89825,0.569,0.63475
169,adorn,0.914,0.39849999999999997,0.4295
170,adrenalin,0.815,0.9425,0.8055
171,adrift,0.398,0.486,0.23
172,adult,0.815,0.491,0.787
173,adulter,0.20850000000000002,0.8394999999999999,0.38849999999999996
174,adulteri,0.12,0.922,0.51
175,adulthood,0.541,0.454,0.652
176,advanc,0.8055,0.5882499999999999,0.8265
177,advantag,0.877,0.5940000000000001,0.8240000000000001
178,advent,0.665,0.56,0.627
179,adventur,0.86975,0.8395,0.76225
180,advers,0.2995,0.685,0.4615
181,adversari,0.349,0.777,0.457
182,advert,0.551,0.5,0.595
183,advertis,0.574,0.5676666666666667,0.5836666666666667
184,advic,0.698,0.408,0.688
185,advis,0.7786,0.36,0.6168
186,advisor,0.646,0.35,0.689
187,advisori,0.656,0.429,0.633
188,advoc,0.551,0.53,0.818
189,advocaci,0.5,0.646,0.731
190,aegi,0.49,0.439,0.462
191,aerat,0.55,0.5,0.433
192,aerial,0.615,0.461,0.463
193,aerob,0.708,0.771,0.627
194,aerodrom,0.541,0.74,0.678
195,aerodynam,0.5755,0.6935,0.725
196,aeronaut,0.551,0.633,0.688
197,aeroplan,0.714,0.642,0.644
198,aerospac,0.643,0.52,0.779
199,aesthet,0.7775,0.3845,0.5375000000000001
200,aetiolog,0.48,0.398,0.615
201,afar,0.396,0.373,0.358
202,affabl,0.704,0.38,0.452
203,affair,0.52,0.459,0.657
204,affect,0.6165,0.56225,0.58075
205,affection,0.949,0.422,0.55
206,affich,0.479,0.265,0.402
207,affidavit,0.469,0.584,0.526
208,affili,0.644,0.5565,0.5175000000000001
209,affin,0.8,0.5,0.537
210,affirm,0.81425,0.5245,0.7617499999999999
211,affix,0.438,0.335,0.411
212,afflict,0.289,0.5633333333333334,0.284
213,affluenc,0.663,0.618,0.722
214,affluent,0.756,0.388,0.477
215,afford,0.7055,0.489,0.534
216,affront,0.356,0.745,0.537
217,afield,0.594,0.37,0.373
218,afir,0.367,0.904,0.675
219,afloat,0.602,0.427,0.444
220,afor,0.5,0.337,0.382
221,aforement,0.49,0.316,0.408
222,aforesaid,0.531,0.358,0.478
223,afraid,0.01,0.775,0.245
224,afresh,0.643,0.521,0.48
225,aft,0.48,0.417,0.518
226,afterlif,0.571,0.567,0.568
227,aftermath,0.312,0.449,0.444
228,afternoon,0.533,0.388,0.339
229,aftershav,0.406,0.384,0.415
230,aftertast,0.354,0.362,0.455
231,afterthought,0.396,0.392,0.349
232,aga,0.542,0.327,0.398
233,agap,0.612,0.529,0.464
234,agat,0.54,0.377,0.483
235,age,0.30333333333333334,0.282,0.3393333333333333
236,agenc,0.46,0.296,0.583
237,agenda,0.531,0.296,0.553
238,agent,0.48,0.439,0.755
239,agglomer,0.45,0.765,0.509
240,aggrav,0.1478,0.7772,0.5008
241,aggreg,0.6565,0.4475,0.625
242,aggres,0.059,0.971,0.639
243,aggress,0.1365,0.92925,0.62925
244,aggressor,0.146,0.948,0.823
245,agh,0.26,0.5,0.4
246,aghast,0.133,0.865,0.464
247,aghhh,0.281,0.635,0.243
248,agil,0.76,0.6795,0.7949999999999999
249,agit,0.328,0.8696666666666667,0.5103333333333333
250,aglow,0.78,0.51,0.797
251,agnost,0.306,0.396,0.574
252,ago,0.317,0.28,0.404
253,agon,0.083,0.8,0.34
254,agoni,0.083,0.775,0.393
255,agoraphobia,0.127,0.712,0.438
256,agre,0.8523333333333333,0.39633333333333337,0.5586666666666668
257,agreeabl,0.906,0.5,0.696
258,agreement,0.76,0.44,0.736
259,agress,0.083,0.918,0.751
260,agricultur,0.663,0.33899999999999997,0.469
261,aground,0.333,0.34,0.445
262,agua,0.598,0.18,0.436
263,ahead,0.708,0.52,0.673
264,ahhh,0.562,0.517,0.241
265,ahhhhhhhh,0.552,0.649,0.288
266,ahoy,0.5,0.497,0.38
267,aid,0.681,0.4615,0.511
268,ail,0.2345,0.476,0.269
269,ailment,0.146,0.734,0.277
270,aim,0.481,0.569,0.567
271,aimless,0.15,0.267,0.183
272,air,0.6455,0.1795,0.39849999999999997
273,airbag,0.51,0.402,0.433
274,airborn,0.542,0.519,0.385
275,aircraft,0.646,0.644,0.691
276,aircraft-carri,0.49,0.74,0.727
277,airfield,0.601,0.65,0.645
278,airhead,0.271,0.481,0.276
279,airlift,0.573,0.622,0.642
280,airlin,0.6585000000000001,0.6295,0.6675
281,airlock,0.398,0.52,0.447
282,airman,0.587,0.716,0.721
283,airplan,0.719,0.702,0.708
284,airport,0.729,0.684,0.682
285,airship,0.542,0.472,0.529
286,airspac,0.562,0.51,0.64
287,airspe,0.583,0.78,0.544
288,airstrip,0.55,0.69,0.649
289,airtight,0.479,0.381,0.57
290,airway,0.638,0.585,0.482
291,aisl,0.438,0.222,0.283
292,ait,0.385,0.39,0.402
293,ajar,0.46,0.413,0.446
294,aka,0.459,0.358,0.351
295,akin,0.639,0.343,0.523
296,ala,0.571,0.31,0.279
297,alabast,0.542,0.404,0.445
298,alarm,0.211,0.8646666666666666,0.5916666666666667
299,alarm-clock,0.542,0.727,0.642
300,alb,0.521,0.38,0.427
301,albatross,0.5,0.445,0.527
302,albino,0.5,0.24,0.358
303,album,0.635,0.349,0.453
304,alchemi,0.541,0.583,0.693
305,alcohol,0.17900000000000002,0.7113333333333333,0.38166666666666665
306,alcov,0.49,0.34,0.356
307,alderman,0.55,0.459,0.691
308,ale,0.53,0.45,0.358
309,alert,0.397,0.8330000000000001,0.6903333333333334
310,alfalfa,0.546,0.25,0.311
311,algebra,0.48550000000000004,0.376,0.503
312,algorithm,0.448,0.394,0.559
313,alia,0.541,0.353,0.333
314,alibi,0.396,0.528,0.556
315,alien,0.36124999999999996,0.517,0.50875
316,alight,0.667,0.657,0.605
317,align,0.6273333333333334,0.35033333333333333,0.621
318,alik,0.653,0.173,0.444
319,aliment,0.781,0.551,0.602
320,alimoni,0.612,0.477,0.464
321,aliquot,0.44,0.31,0.404
322,aliv,0.816,0.637,0.731
323,alkali,0.49,0.35,0.408
324,alkaloid,0.433,0.562,0.402
325,allay,0.417,0.406,0.398
326,alleg,0.45366666666666666,0.5273333333333333,0.5716666666666667
327,allegi,0.917,0.398,0.75
328,allegor,0.517,0.558,0.598
329,allegori,0.615,0.58,0.509
330,allegro,0.635,0.627,0.453
331,allerg,0.135,0.549,0.273
332,allergi,0.296,0.606,0.389
333,allevi,0.802,0.23500000000000001,0.5095000000000001
334,alley,0.347,0.5,0.355
335,alleyway,0.357,0.471,0.382
336,alli,0.753,0.2825,0.665
337,allianc,0.696,0.473,0.769
338,allig,0.354,0.704,0.645
339,alloc,0.6385000000000001,0.42500000000000004,0.6755
340,allot,0.611,0.4355,0.628
341,allow,0.69975,0.41775,0.58625
342,alloy,0.583,0.443,0.593
343,allsmil,0.786,0.528,0.43
344,allur,0.8205,0.665,0.7645
345,allus,0.44,0.308,0.462
346,alluvi,0.323,0.49,0.491
347,almanac,0.688,0.19,0.412
348,almighti,0.938,0.874,0.958
349,almond,0.698,0.183,0.314
350,aloft,0.771,0.373,0.7
351,aloha,0.698,0.44,0.441
352,alon,0.333,0.167,0.216
353,alongsid,0.458,0.333,0.347
354,aloof,0.189,0.423,0.302
355,aloud,0.458,0.713,0.75
356,alpha,0.708,0.34,0.755
357,alphabet,0.5495000000000001,0.25,0.6035
358,alpin,0.594,0.337,0.474
359,alreadyyyyi,0.592,0.717,0.351
360,altar,0.724,0.387,0.635
361,altar boy,0.434,0.206,0.35
362,alter,0.25166666666666665,0.7523333333333334,0.5876666666666667
363,alterc,0.17,0.806,0.5
364,altern,0.5776666666666667,0.41,0.5873333333333334
365,altimet,0.615,0.51,0.58
366,altitud,0.708,0.482,0.736
367,alto,0.656,0.404,0.73
368,altogeth,0.833,0.324,0.644
369,aluminum,0.449,0.28,0.434
370,alumnu,0.633,0.368,0.422
371,alveolar,0.469,0.481,0.367
372,alzheim,0.194,0.518,0.319
373,amalgam,0.42200000000000004,0.40149999999999997,0.5205
374,amaretto,0.543,0.551,0.375
375,amass,0.552,0.465,0.465
376,amateur,0.469,0.5,0.409
377,amaz,0.837,0.81475,0.7010000000000001
378,amazed,0.827,0.872,0.51
379,amazingli,0.918,0.765,0.92
380,ambassador,0.651,0.529,0.917
381,amber,0.635,0.308,0.369
382,ambienc,0.735,0.356,0.426
383,ambient,0.625,0.36,0.582
384,ambigu,0.21450000000000002,0.461,0.364
385,ambit,0.4945,0.5920000000000001,0.5235000000000001
386,ambiti,0.484,0.821,0.717
387,ambival,0.51,0.404,0.482
388,ambrosia,0.571,0.452,0.48
389,ambul,0.5,0.75,0.609
390,ambush,0.281,0.83,0.5
391,amelior,0.77,0.548,0.747
392,amen,0.6596666666666667,0.30633333333333335,0.5073333333333333
393,amend,0.6196666666666667,0.4103333333333334,0.5936666666666667
394,amethyst,0.622,0.406,0.517
395,amiabl,0.847,0.29,0.483
396,amic,0.875,0.33,0.507
397,amid,0.51,0.34,0.256
398,amidst,0.48,0.33,0.316
399,amino,0.551,0.402,0.433
400,ammo,0.323,0.765,0.621
401,ammonia,0.292,0.587,0.409
402,ammonium,0.354,0.396,0.368
403,ammunit,0.338,0.635,0.667
404,amnesia,0.296,0.33,0.308
405,amnesti,0.551,0.451,0.814
406,amor,0.844,0.67,0.636
407,amorph,0.327,0.402,0.349
408,amort,0.592,0.491,0.522
409,amount,0.562,0.422,0.649
410,amour,0.865,0.48,0.652
411,amp,0.439,0.393,0.375
412,ampersand,0.48,0.448,0.483
413,amphetamin,0.133,0.667,0.526
414,amphibi,0.479,0.346,0.445
415,amphibian,0.427,0.357,0.474
416,amphitheat,0.653,0.48,0.545
417,ampl,0.744,0.349,0.719
418,ampli,0.781,0.431,0.766
419,amplif,0.69,0.677,0.81
420,amplifi,0.677,0.735,0.827
421,amplitud,0.694,0.439,0.692
422,amput,0.096,0.7075,0.496
423,amuck,0.385,0.602,0.321
424,amulet,0.781,0.26,0.63
425,amus,0.91075,0.79925,0.6737500000000001
426,ana,0.541,0.3,0.314
427,anaconda,0.146,0.83,0.54
428,anaesthesia,0.35,0.217,0.473
429,anaesthet,0.449,0.268,0.509
430,anagram,0.552,0.327,0.449
431,anal,0.333,0.798,0.334
432,analges,0.417,0.321,0.441
433,analog,0.5205,0.3185,0.5045
434,analogu,0.57,0.32,0.446
435,analysi,0.729,0.448,0.705
436,analyst,0.604,0.415,0.755
437,analyt,0.645,0.4225,0.7170000000000001
438,analyz,0.646,0.509,0.782
439,anaphylact,0.378,0.588,0.5
440,anarch,0.125,0.804,0.623
441,anarchi,0.146,0.755,0.62
442,anarchist,0.204,0.7,0.759
443,anastomosi,0.375,0.47,0.49
444,anathema,0.286,0.49,0.519
445,anatom,0.562,0.442,0.546
446,anatomi,0.562,0.39,0.571
447,ancestor,0.592,0.388,0.594
448,ancestr,0.64,0.481,0.75
449,ancestri,0.708,0.519,0.717
450,anchor,0.52,0.284,0.564
451,anchorag,0.5,0.325,0.639
452,ancient,0.42,0.217,0.439
453,ancillari,0.449,0.442,0.278
454,androgen,0.255,0.523,0.527
455,android,0.663,0.436,0.5
456,anecdot,0.583,0.529,0.5
457,anem,0.167,0.279,0.155
458,anemia,0.188,0.327,0.31
459,anemon,0.552,0.538,0.327
460,anesthesia,0.365,0.216,0.394
461,anesthesiologist,0.419,0.224,0.526
462,anesthet,0.35,0.264,0.482
463,aneurysm,0.115,0.69,0.536
464,anew,0.771,0.358,0.385
465,angel,0.9165000000000001,0.22799999999999998,0.6859999999999999
466,anger,0.08850000000000001,0.8625,0.6020000000000001
467,angermanag,0.26,0.632,0.482
468,angina,0.23,0.63,0.464
469,angiogram,0.347,0.52,0.465
470,angiographi,0.378,0.536,0.52
471,angl,0.583,0.369,0.47750000000000004
472,angora,0.529,0.425,0.405
473,angri,0.122,0.83,0.604
474,angriest,0.094,0.892,0.43
475,angrytweet,0.265,0.644,0.471
476,angst,0.167,0.888,0.333
477,anguish,0.14400000000000002,0.756,0.28600000000000003
478,angular,0.449,0.281,0.444
479,anhydr,0.456,0.365,0.355
480,anim,0.76475,0.67275,0.5587500000000001
481,animos,0.51,0.724,0.545
482,animu,0.698,0.676,0.466
483,ankl,0.5,0.274,0.234
484,anklet,0.41,0.276,0.302
485,annal,0.427,0.61,0.424
486,annex,0.5066666666666667,0.39999999999999997,0.4683333333333333
487,annihil,0.07866666666666668,0.8260000000000001,0.532
488,anniversari,0.88,0.77,0.723
489,annot,0.598,0.4695,0.53
490,announc,0.6749999999999999,0.5596666666666666,0.6083333333333333
491,annoy,0.1186,0.7794000000000001,0.3512
492,annoyin,0.26,0.573,0.352
493,annual,0.552,0.236,0.5
494,annuiti,0.521,0.304,0.527
495,annul,0.2015,0.4115,0.40549999999999997
496,annular,0.31,0.385,0.412
497,annulu,0.458,0.38,0.376
498,anoint,0.5765,0.359,0.563
499,anomal,0.281,0.48,0.423
500,anomali,0.188,0.538,0.404
501,anon,0.479,0.354,0.298
502,anonym,0.4325,0.273,0.4305
503,anorex,0.16,0.618,0.245
504,answer,0.643,0.45133333333333336,0.6726666666666666
505,ant,0.448,0.268,0.3165
506,antagon,0.1835,0.6405000000000001,0.5765
507,antagonist,0.268,0.6094999999999999,0.6325
508,anteced,0.427,0.551,0.566
509,antelop,0.542,0.51,0.5
510,antenna,0.521,0.327,0.358
511,anterior,0.51,0.245,0.362
512,anthem,0.78,0.343,0.729
513,anthil,0.327,0.578,0.377
514,antholog,0.338,0.406,0.537
515,anthrax,0.188,0.73,0.5
516,anthropolog,0.4285,0.3785,0.536
517,anthropologist,0.551,0.385,0.725
518,anti,0.365,0.412,0.384
519,antiaircraft,0.33,0.622,0.629
520,antibiot,0.479,0.3895,0.6075
521,antic,0.448,0.74,0.236
522,antichrist,0.082,0.837,0.544
523,anticip,0.6599999999999999,0.504,0.6890000000000001
524,anticipatori,0.653,0.551,0.682
525,antidot,0.541,0.49,0.629
526,antifung,0.408,0.412,0.441
527,antigrav,0.43,0.714,0.658
528,antimoni,0.378,0.398,0.49
529,antipathi,0.198,0.549,0.393
530,antiqu,0.49475,0.34625,0.47625
531,antiquarian,0.5,0.233,0.426
532,antisept,0.438,0.37,0.623
533,antisoci,0.146,0.686,0.391
534,antithesi,0.396,0.412,0.536
535,antithet,0.271,0.509,0.358
536,antivir,0.459,0.47,0.549
537,antler,0.448,0.47,0.5
538,antsi,0.449,0.558,0.417
539,anu,0.347,0.644,0.35
540,anvil,0.38,0.51,0.604
541,anxieti,0.146,0.865,0.342
542,anxietyattack,0.15,0.925,0.446
543,anxiou,0.281,0.875,0.434
544,anxious,0.235,0.814,0.282
545,anytim,0.625,0.461,0.436
546,aorta,0.448,0.51,0.542
547,aortic,0.436,0.54,0.438
548,apac,0.536,0.5,0.536
549,apach,0.687,0.469,0.5
550,apart,0.7115,0.365,0.5115
551,apathet,0.188,0.292,0.333
552,apathi,0.184,0.212,0.204
553,ape,0.548,0.389,0.336
554,apertur,0.612,0.45,0.667
555,apex,0.57,0.433,0.418
556,aphid,0.388,0.473,0.407
557,aphrodisiac,0.75,0.846,0.667
558,apiec,0.439,0.259,0.383
559,aplomb,0.5,0.509,0.582
560,apocalyps,0.05,0.867,0.736
561,apocalypt,0.173,0.88,0.75
562,apolog,0.5609999999999999,0.362,0.3955
563,apologet,0.479,0.461,0.571
564,apologist,0.406,0.429,0.526
565,apost,0.342,0.5,0.528
566,apostasi,0.388,0.52,0.517
567,apostl,0.646,0.347,0.732
568,apostol,0.592,0.3,0.717
569,apostroph,0.469,0.368,0.537
570,apothecari,0.561,0.328,0.529
571,appal,0.177,0.8095,0.48850000000000005
572,appar,0.502,0.39649999999999996,0.41200000000000003
573,apparatu,0.375,0.353,0.377
574,apparel,0.698,0.435,0.453
575,apparit,0.406,0.573,0.636
576,appeal,0.663,0.598,0.558
577,appear,0.702,0.498,0.5505
578,appeas,0.633,0.278,0.434
579,appel,0.327,0.588,0.568
580,append,0.302,0.552,0.4
581,appendag,0.229,0.382,0.438
582,appendectomi,0.177,0.67,0.554
583,appendix,0.365,0.387,0.425
584,appet,0.7805,0.6085,0.5469999999999999
585,appetit,0.704,0.637,0.581
586,appl,0.811,0.3,0.264
587,applaud,0.865,0.824,0.464
588,applaus,0.953,0.857,0.621
589,apple juic,0.765,0.204,0.294
590,applejack,0.604,0.431,0.473
591,applesauc,0.75,0.167,0.291
592,appli,0.612,0.321,0.667
593,applianc,0.588,0.4235,0.5525
594,applic,0.601,0.48075,0.7055
595,appoint,0.6659999999999999,0.5336666666666666,0.5603333333333333
596,apport,0.677,0.49,0.638
597,apportion,0.552,0.481,0.453
598,apprais,0.547,0.5785,0.6890000000000001
599,appreci,0.8678333333333333,0.45933333333333337,0.6993333333333333
600,apprehend,0.521,0.624,0.696
601,apprehens,0.3955,0.6559999999999999,0.4425
602,apprentic,0.615,0.413,0.452
603,apprenticeship,0.812,0.482,0.643
604,approach,0.6759999999999999,0.47450000000000003,0.5505
605,approb,0.7190000000000001,0.5595,0.817
606,appropri,0.6715,0.5,0.738
607,approv,0.8718,0.513,0.7762
608,approxim,0.5845,0.49325,0.5305
609,appurten,0.573,0.412,0.547
610,apricot,0.708,0.32,0.278
611,apron,0.582,0.208,0.245
612,apt,0.582,0.418,0.382
613,aptitud,0.75,0.471,0.746
614,aqua,0.656,0.292,0.359
615,aquamarin,0.729,0.306,0.413
616,aquarium,0.663,0.327,0.393
617,aquat,0.677,0.51,0.463
618,aqueduct,0.551,0.411,0.534
619,aqueou,0.429,0.27,0.31
620,arabl,0.51,0.35,0.465
621,arbit,0.561,0.537,0.814
622,arbitr,0.48066666666666663,0.5566666666666666,0.7156666666666668
623,arbitrari,0.281,0.702,0.686
624,arbor,0.583,0.49,0.591
625,arc,0.552,0.388,0.396
626,arcad,0.676,0.521,0.502
627,arcan,0.5,0.49,0.637
628,arch,0.5409999999999999,0.3785,0.43300000000000005
629,archaeolog,0.6679999999999999,0.39949999999999997,0.6755
630,archaeologist,0.552,0.451,0.706
631,archaic,0.271,0.327,0.332
632,archangel,0.837,0.5,0.708
633,archbishop,0.622,0.28,0.776
634,archdioces,0.4,0.321,0.704
635,archduk,0.458,0.413,0.634
636,archer,0.573,0.622,0.661
637,archeri,0.594,0.604,0.589
638,archetyp,0.448,0.52,0.569
639,archipelago,0.745,0.37,0.592
640,architect,0.776,0.442,0.836
641,architectur,0.7745,0.39,0.6819999999999999
642,archiv,0.438,0.294,0.527
643,arctic,0.615,0.352,0.546
644,ardent,0.694,0.873,0.722
645,ardor,0.5,0.78,0.538
646,arduou,0.344,0.783,0.605
647,area,0.49,0.306,0.464
648,arena,0.51,0.235,0.404
649,areola,0.417,0.396,0.381
650,areyoukid,0.429,0.633,0.4
651,areyoukiddingm,0.365,0.635,0.375
652,argent,0.594,0.418,0.472
653,argh,0.26,0.538,0.328
654,arghh,0.292,0.536,0.397
655,arghhhh,0.25,0.618,0.324
656,argu,0.093,0.798,0.525
657,argument,0.495,0.5365,0.6985
658,arid,0.323,0.333,0.379
659,aris,0.75,0.582,0.725
660,aristocraci,0.688,0.549,0.842
661,aristocrat,0.516,0.46599999999999997,0.7435
662,arithmet,0.453,0.46,0.634
663,ark,0.396,0.427,0.543
664,arm,0.4013333333333334,0.4766666666666666,0.5866666666666667
665,armada,0.408,0.74,0.868
666,armament,0.195,0.8015,0.8200000000000001
667,armatur,0.51,0.558,0.755
668,armchair,0.646,0.164,0.339
669,armi,0.417,0.759,0.902
670,armor,0.469,0.567,0.8225
671,armori,0.448,0.663,0.8
672,armpit,0.283,0.439,0.25
673,aroma,0.823,0.235,0.442
674,aromatherapi,0.847,0.22,0.473
675,arous,0.7463333333333333,0.7953333333333333,0.6593333333333333
676,arraign,0.406,0.837,0.534
677,arrang,0.6876666666666665,0.4676666666666667,0.6606666666666666
678,array,0.521,0.396,0.568
679,arrear,0.286,0.485,0.302
680,arrest,0.146,0.951,0.5
681,arrhythmia,0.265,0.706,0.356
682,arriv,0.7575000000000001,0.458,0.5295
683,arrog,0.129,0.7525,0.6
684,arrow,0.439,0.39,0.454
685,arsehol,0.232,0.5715,0.392
686,arsen,0.323,0.6065,0.5995
687,arson,0.133,0.904,0.567
688,arsonist,0.348,0.84,0.5
689,art,0.7915000000000001,0.484,0.6905
690,arteri,0.396,0.5449999999999999,0.56
691,arthriti,0.11,0.518,0.345
692,arthropod,0.344,0.464,0.434
693,arti,0.49,0.422,0.388
694,artichok,0.583,0.218,0.287
695,articl,0.573,0.30200000000000005,0.5229999999999999
696,articul,0.5780000000000001,0.471,0.6045
697,artifact,0.51,0.5,0.566
698,artific,0.316,0.696,0.482
699,artifici,0.306,0.385,0.351
700,artilleri,0.35,0.912,0.794
701,artisan,0.781,0.33,0.411
702,artist,0.811,0.56675,0.6675
703,artistri,0.823,0.346,0.769
704,artwork,0.896,0.368,0.679
705,as,0.323,0.75,0.345
706,asap,0.571,0.5,0.552
707,asbesto,0.357,0.481,0.464
708,ascend,0.759,0.6405000000000001,0.7775
